requirement,intent,entity,pattern_id
add a new product,CREATE,product,1
add a new student,CREATE,student,1
add a new ticket,CREATE,ticket,1
add a new customer,CREATE,customer,1
create a course,CREATE,course,2
create a patient,CREATE,patient,2
create a doctor,CREATE,doctor,2
create a student,CREATE,student,2
enroll a new teacher in the system,CREATE,teacher,3
enroll a new vehicle in the system,CREATE,vehicle,3
enroll a new order in the system,CREATE,order,3
enroll a new book in the system,CREATE,book,3
insert a ticket record,CREATE,ticket,4
insert a doctor record,CREATE,doctor,4
insert a product record,CREATE,product,4
insert a supplier record,CREATE,supplier,4
users should be able to add orders,CREATE,order,5
users should be able to add suppliers,CREATE,supplier,5
users should be able to add hotels,CREATE,hotel,5
users should be able to add products,CREATE,product,5
allow admin to create new courses,CREATE,course,6
allow admin to create new invoices,CREATE,invoice,6
allow admin to create new orders,CREATE,order,6
allow admin to create new vehicles,CREATE,vehicle,6
i want to add a vehicle with email and age,CREATE,vehicle,7
i want to add a hotel with price and category,CREATE,hotel,7
i want to add a invoice with phone and salary,CREATE,invoice,7
i want to add a course with salary and status,CREATE,course,7
make a new course entry,CREATE,course,8
make a new employee entry,CREATE,employee,8
make a new patient entry,CREATE,patient,8
make a new supplier entry,CREATE,supplier,8
save a new patient to the database,CREATE,patient,9
save a new supplier to the database,CREATE,supplier,9
save a new movie to the database,CREATE,movie,9
save a new student to the database,CREATE,student,9
store order details,CREATE,order,10
store patient details,CREATE,patient,10
store book details,CREATE,book,10
store invoice details,CREATE,invoice,10
submit a new student,CREATE,student,11
submit a new book,CREATE,book,11
submit a new order,CREATE,order,11
submit a new vehicle,CREATE,vehicle,11
post a new supplier,CREATE,supplier,12
post a new patient,CREATE,patient,12
post a new employee,CREATE,employee,12
post a new customer,CREATE,customer,12
the system should let users create hotels,CREATE,hotel,13
the system should let users create suppliers,CREATE,supplier,13
the system should let users create patients,CREATE,patient,13
the system should let users create courses,CREATE,course,13
new employee creation,CREATE,employee,14
new ticket creation,CREATE,ticket,14
new invoice creation,CREATE,invoice,14
new student creation,CREATE,student,14
add supplier information to the system,CREATE,supplier,15
add product information to the system,CREATE,product,15
add vehicle information to the system,CREATE,vehicle,15
add course information to the system,CREATE,course,15
enter a new book record,CREATE,book,16
enter a new teacher record,CREATE,teacher,16
enter a new ticket record,CREATE,ticket,16
enter a new order record,CREATE,order,16
build an endpoint to add employees,CREATE,employee,17
build an endpoint to add courses,CREATE,course,17
build an endpoint to add vehicles,CREATE,vehicle,17
build an endpoint to add patients,CREATE,patient,17
create order with age,CREATE,order,18
create teacher with status,CREATE,teacher,18
create student with email,CREATE,student,18
create hotel with price,CREATE,hotel,18
insert new invoices into the database,CREATE,invoice,19
insert new students into the database,CREATE,student,19
insert new hotels into the database,CREATE,hotel,19
insert new doctors into the database,CREATE,doctor,19
users can enroll products,CREATE,product,20
users can enroll hotels,CREATE,hotel,20
users can enroll doctors,CREATE,doctor,20
users can enroll suppliers,CREATE,supplier,20
save course details such as rating and phone,CREATE,course,21
save customer details such as city and date,CREATE,customer,21
save teacher details such as name and city,CREATE,teacher,21
save employee details such as title and category,CREATE,employee,21
store a new patient in the system,CREATE,patient,22
store a new employee in the system,CREATE,employee,22
store a new order in the system,CREATE,order,22
store a new book in the system,CREATE,book,22
users can submit products,CREATE,product,23
users can submit hotels,CREATE,hotel,23
users can submit employees,CREATE,employee,23
users can submit customers,CREATE,customer,23
endpoint to post suppliers,CREATE,supplier,24
endpoint to post customers,CREATE,customer,24
endpoint to post movies,CREATE,movie,24
endpoint to post students,CREATE,student,24
make students and keep them in the database,CREATE,student,25
make books and keep them in the database,CREATE,book,25
make hotels and keep them in the database,CREATE,hotel,25
make tickets and keep them in the database,CREATE,ticket,25
enter ticket details like rating,CREATE,ticket,26
enter product details like category,CREATE,product,26
enter invoice details like price,CREATE,invoice,26
enter hotel details like status,CREATE,hotel,26
show all invoices,READ,invoice,27
show all vehicles,READ,vehicle,27
show all teachers,READ,teacher,27
show all hotels,READ,hotel,27
get doctor details,READ,doctor,28
get movie details,READ,movie,28
get vehicle details,READ,vehicle,28
get product details,READ,product,28
view all invoices,READ,invoice,29
view all students,READ,student,29
view all books,READ,book,29
view all customers,READ,customer,29
list all vehicles,READ,vehicle,30
list all hotels,READ,hotel,30
list all doctors,READ,doctor,30
list all products,READ,product,30
display the list of products,READ,product,31
display the list of tickets,READ,ticket,31
display the list of customers,READ,customer,31
display the list of patients,READ,patient,31
fetch a order by id,READ,order,32
fetch a doctor by id,READ,doctor,32
fetch a hotel by id,READ,hotel,32
fetch a customer by id,READ,customer,32
get a single teacher using its id,READ,teacher,33
get a single patient using its id,READ,patient,33
get a single course using its id,READ,course,33
get a single vehicle using its id,READ,vehicle,33
retrieve all student records,READ,student,34
retrieve all supplier records,READ,supplier,34
retrieve all product records,READ,product,34
retrieve all course records,READ,course,34
users can view students,READ,student,35
users can view hotels,READ,hotel,35
users can view vehicles,READ,vehicle,35
users can view movies,READ,movie,35
see every hotel in the system,READ,hotel,36
see every invoice in the system,READ,invoice,36
see every patient in the system,READ,patient,36
see every movie in the system,READ,movie,36
read patient information,READ,patient,37
read vehicle information,READ,vehicle,37
read product information,READ,product,37
read invoice information,READ,invoice,37
return all invoices,READ,invoice,38
return all hotels,READ,hotel,38
return all patients,READ,patient,38
return all books,READ,book,38
view movie profile,READ,movie,39
view student profile,READ,student,39
view product profile,READ,product,39
view teacher profile,READ,teacher,39
get the details of one supplier,READ,supplier,40
get the details of one product,READ,product,40
get the details of one customer,READ,customer,40
get the details of one teacher,READ,teacher,40
show me the vehicles,READ,vehicle,41
show me the doctors,READ,doctor,41
show me the hotels,READ,hotel,41
show me the invoices,READ,invoice,41
fetch all the invoices from the database,READ,invoice,42
fetch all the orders from the database,READ,order,42
fetch all the vehicles from the database,READ,vehicle,42
fetch all the teachers from the database,READ,teacher,42
find a book by id,READ,book,43
find a vehicle by id,READ,vehicle,43
find a student by id,READ,student,43
find a product by id,READ,product,43
list every order,READ,order,44
list every doctor,READ,doctor,44
list every hotel,READ,hotel,44
list every ticket,READ,ticket,44
display course details by id,READ,course,45
display book details by id,READ,book,45
display ticket details by id,READ,ticket,45
